RH Level,Unit,Part,Unit Name,Language Skill,Thinking Map Skill,Reading Skill,Grammar Skill,Project,Phonics Skill,Genres,Vocabulary Words,Related Words
3,1,1,Happy to Help (Social Studies) ,Retell a Story,Plot,Preview and Predict,Complete Sentences,Write a Personal Narrative,Compound Words,"Realistic Fiction, Poem","action, difference, gift, problem, receive, solution, kindness, need, understand, value, want","receive, action, gift, need, problem, want, kindness, understand, difference, solution, value, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state, substance, trap, ground, mixture, sand, water"
3,1,2,Happy to Help (Social Studies) ,Make Comparisons,Make Comparisons,Monitor and Clarify,Subjects and Predicates,Oral Report,Syllable Division,"Autobiography, Biography","improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn","offer, identify, improve, neighborhood, individual, duty, volunteer, benefit, learn, impact, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state, substance, trap, ground, mixture, sand, water"
3,2,1,Natures Balance (Science) ,Ask and Answer Questions,Compare and Contrast,Ask Questions,Kinds of Sentences,Write a Summary,Vowel Sounds and Spellings: u_e,"Humorous Story, Riddle","amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce","supply, increase, amount, scarce, react, behavior, control, decrease, balance, interact, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state, substance, trap, ground, mixture, sand, water"
3,2,2,Natures Balance (Science) ,Give and Carry Out Commands,Cause and Effect,Ask Questions,Compound Sentences,Narrative Presentation,Vowel Sounds and Spellings: oo,"Science Article, Human Interest Feature","drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources","negative, river, nature, level, ecosystem, drought, positive, competition, food, resources, chain, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, food chain, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state, substance, trap, ground, mixture"
3,3,1,Life in the Soil (Science) ,Give Information,Sequence,Make Inferences,Plural Nouns,Write an Article,Two- and Three-Letter Blends,"Realistic Fiction, Haiku","blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce","soil, sprout, growth, blossom, root, depend, seed, produce, cycle, characteristic, conditions, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state, substance, trap, ground, mixture, sand, water"
3,3,2,Life in the Soil (Science) ,Define and Explain,Main Idea and Details,Make Inferences,Plural Nouns,News Report,"Plurals: -s, Plurals: -es, Plurals: -ies","Nonfiction, Science Article, Blog","city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique","organism, desert, unique, weed, city, vine, rainforest, diversity, protect, environment, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state, substance, trap, ground, mixture, sand, water"
3,4,1,Lets Work Together (Social Studies) ,"Express Needs, Wants, and Feelings",Theme,Determine Importance,"Present-Tense Verbs, Action Verbs",Write a Persuasive Essay,Syllable Division,Realistic Fiction,"advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward","plenty, market, pay, cooperation, seller, money, buyer, advertisement, accomplish, purpose, reward, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state, substance, trap, ground, mixture, sand, water"
3,4,2,Lets Work Together (Social Studies) ,Persuade,Opinion and Evidence,Summarize,"Forms of the verb ""be"", Forms of the verb ""have""",Persuasive Presentation,"Vowel Sounds and Spellings: al, aw, au","Persuasive Article, Fable","agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain","method, farmer, alternative, crop, agriculture, harvest, future, plow, field, sustain, conservation, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state, substance, trap, ground, mixture, sand, water"
3,5,1,Mysteries of Matter (Science) ,Describe Actions,Character and Plot,Make Connections,Adjectives and Articles,Write a Literary Response,"Endings: -ed, Endings: -ing","Play, E-mail, Web-based News Article","form, freeze, liquid, melt, solid, temperature, thermometer, alter, occur, state, substance, trap","melt, freeze, occur, temperature, trap, liquid, substance, alter, state, thermometer, form, solid, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, ground, mixture, sand, water"
3,5,2,Mysteries of Matter (Science) ,Describe Places,Cause and Effect,Make Connections,"Possessive Nouns, Posessive Adjectives",Interview,"Prefixes: in-, Prefixes: im-","Science Article, Interview","ground, mixture, sand, water, wetland, area, combine, composition, firm, surface","firm, wetland, area, combine, mixture, sand, ground, surface, water, composition, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
